BASMID,RCNOW,RCWEEK,RCTYPE,RCPLACE,RCSPEAK,RCSKNFV,RCSKFV,RCFEE,RCREL,RCTANF,RCSSAC,RCEMPL,RCOTHER,RCOTHC,NCNOW,NCWEEK,NCPLACE,NCINHH,NCALKNE,NCSPEAK,NCSKNFV,NCSKFV,NCRCMDPT,NCFEE,NCREL,NCTANF,NCSSAC,NCEMPL,NCOTHER,NCOTHC,CPNNOWX,CPWEEKX,CPTYPE,CPHEADST,CPPLACEX,CPSPRLG,CPWORK,CPSPEAK,CPRCMDPT,CPTEST,CPPHYSE,CPDENTA,CPDISAB,CPSKNFV,CPSKFV,CPFEE,CPREL,CPTANF,CPSSAC,CPEMPL,CPOTHER,CPOTHC,PCEVRHDX,MAINRESN,PPCHOIC,WHYDIFCLT,FOLIBRAY,FOBOOKST,DPIAGE,DPCOUNT,DPNAME,HAPRETRD,HAWORDSX,HACONECTX,HDINTDIS,HDSPEECHX,HDDISTRBX,HDDEAFIMX,HDBLINDX,HDORTHOX,HDAUTISMX,HDPDDX,HDADDX,HDLEARNX,HDDELAYX,HDTRBRAIN,HDOTHERX,HDDLYRSK,HDRECSER,HDSCHLX,HDGOVTX,HDDOCTORX,HDPRISCH,HDIEPX,HDDEVIEPX,HDCOMMUX,HDTCHR,HDACCOMX,HDCOMMITX,HDSPCLED,HDLEARN,HDPLAY,HDOUT,HDFRNDS,TTLHHINC
20161001145,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,2,-1,2,1,1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
20161001161,1,1,3,3,1,1,1,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,7,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,1,2,1,2,5,1,1,3,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6
20161001223,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,7,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
20161001228,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,1,-1,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6
20161001234,1,1,3,3,1,1,1,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,7,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,3,2,1,2,5,1,1,3,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
20161001381,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,7,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,3,2,1,2,5,1,1,3,-1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,7
20161001409,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,7,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,-1,2,2,2,3,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
20161001411,1,1,1,1,1,1,2,2,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,2,1,2,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
20161001426,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,2,2,2,1,-1,2,2,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
20161001456,1,1,1,1,3,1,1,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,7,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,-1,2,1,2,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
